КодКлиента,Название,ОбращатьсяК,Должность,Адрес,Город,Область,Индекс,Страна,Телефон,Факс
"ALFKI","Alfreds Futterkiste","Maria Anders","Представитель","Obere Str. 57","Берлин",,"12209","Германия","030-0074321","030-0076545"
"ANATR","Ana Trujillo Emparelados","Ana Trujillo","Совладелец","Avda. de la Constitucion 2222","Мехико",,"050221","Мексика","(5) 555-47291","(5) 555-3745"
"ANTON","Antonio Moreno Taqueria","Antonio Moreno","Совладелец","Mataderos  2312","Мехико",,"05023","Мексика","(5) 555-3932",
"AROUT","Around the Horn","Thomas Hardy","Представитель","120 Hanover Sq.","Лондон",,"WA1 1DP","Великобритания","(171) 555-7788","(171) 555-6750"
"BERGS","Berglunds snabbkop","Christina Berglund","Координатор","Berguvsvagen  8","Лулео",,"S-958 22","Швеция","0921-12 34 65","0921-12 34 67"
"BLAUS","Blauer See Delikatessen","Hanna Moos","Представитель","Forsterstr. 57","Мангейм",,"68306","Германия","0621-08460","0621-08924"
"BLONP","Blondel pere et fils","Frederique Citeaux","Главный менеджер","24, place Kleber","Страсбург",,"67000","Франция","88.60.15.31","88.60.15.32"
"BOLID","Bolido Comidas preparadas","Martin Sommer","Совладелец","C/ Araquil, 67","Мадрид",,"28023","Испания","(91) 555 22 82","(91) 555 91 99"
"BONAP","Bon app'","Laurence Lebihan","Совладелец","12, rue des Bouchers","Марсель",,"13008","Франция","91.24.45.40","91.24.45.41"
"BOTTM","Bottom-Dollar Markets","Elizabeth Lincoln","Бухгалтер","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада","(604) 555-4729","(604) 555-3745"
"BSBEV","B's Beverages","Victoria Ashworth","Представитель","Fauntleroy Circus","Лондон",,"EC2 5N4T","Великобритания","(171) 555-1212",
"CACTU","Cactus Comidas para llevar","Patricio Simpson","Продавец","Cerrito 333","Буэнос-Айрес",,"1010","Аргентина","(1) 135-5555","(1) 135-4892"
"CENTC","Centro comercial Moctezuma","Francisco Chang","Главный менеджер","Sierras de Granada 9993","Мехико",,"05022","Мексика","(5) 555-3392","(5) 555-7293"
"CHOPS","Chop-suey Chinese","Yang Wang","Совладелец","Hauptstr. 29","Берн",,"3012","Швейцария","0452-076545",
"COMMI","Comercio Mineiro","Pedro Afonso","Ученик продавца","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия","(11) 555-7647",
"CONSH","Consolidated Holdings","Elizabeth Brown","Представитель","Berkeley Gardens
12  Brewery ","Лондон",,"WX1 6LT","Великобритания","(171) 555-2282","(171) 555-9199"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Координатор","Walserweg 21","Ахен",,"52066","Германия","0241-039123","0241-059428"
"DUMON","Du monde entier","Janine Labrune","Совладелец","67, rue des Cinquante Otages","Нант",,"44000","Франция","40.67.88.88","40.67.89.89"
"EASTC","Eastern Connection","Ann Devon","Продавец","35 King George","Лондон",,"WX3 6FW","Великобритания","(171) 555-0297","(171) 555-3373"
"ERNSH","Ernst Handel","Roland Mendel","Менеджер по продажам","Kirchgasse 6","Грасс",,"8010","Австрия","7675-3425","7675-3426"
"FAMIA","Familia Arquibaldo","Aria Cruz","Помощник менеджера","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия","(11) 555-9857",
"FISSA","FISSA Fabrica Inter. Salchichas S.A.","Diego Roel","Бухгалтер","C/ Moralzarzal, 86","Мадрид",,"28034","Испания","(91) 555 94 44","(91) 555 55 93"
"FOLIG","Folies gourmandes","Martine Rance","Помощник продавца","184, chaussee de Tournai","Лилль",,"59000","Франция","20.16.10.16","20.16.10.17"
"FOLKO","Folk och fa HB","Maria Larsson","Совладелец","Lkergatan 24","Брекке",,"S-844 67","Швеция","0695-34 67 21",
"FRANK","Frankenversand","Peter Franken","Главный менеджер","Berliner Platz 43","Мюнхен",,"80805","Германия","089-0877310","089-0877451"
"FRANR","France restauration","Carine Schmitt","Главный менеджер","54, rue Royale","Нант",,"44000","Франция","40.32.21.21","40.32.21.20"
"FRANS","Franchi S.p.A.","Paolo Accorti","Представитель","Via Monte Bianco 34","Турин",,"10100","Италия","011-4988260","011-4988261"
"FURIB","Furia Bacalhau e Frutos do Mar","Lino Rodriguez ","Менеджер по продажам","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия","(1) 354-2534","(1) 354-2535"
"GALED","Galeria del gastrуnomo","Eduardo Saavedra","Главный менеджер","Rambla de Cataluna, 23","Барселона",,"08022","Испания","(93) 203 4560","(93) 203 4561"
"GODOS","Godos Cocina Tipica","Jose Pedro Freyre","Менеджер по продажам","C/ Romero, 33","Севилья",,"41101","Испания","(95) 555 82 82",
"GOURL","Gourmet Lanchonetes","Andre Fonseca","Ученик продавца","Av. Brasil, 442","Кампинас","SP","04876-786","Бразилия","(11) 555-9482",
"GREAL","Great Lakes Food Market","Howard Snyder","Главный менеджер","2732 Baker Blvd.","Юджин","OR","97403","США","(503) 555-7555",
"GROSR","GROSELLA-Restaurante","Manuel Pereira","Совладелец","5S Ave. Los Palos Grandes","Каракас","DF","1081","Венесуэла","(2) 283-2951","(2) 283-3397"
"HANAR","Hanari Carnes","Mario Pontes","Бухгалтер","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия","(21) 555-0091","(21) 555-8765"
"HILAA","HILARION-Abastos","Carlos Hernandez","Представитель","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэла","(5) 555-1340","(5) 555-1948"
"HUNGC","Hungry Coyote Import Store","Yoshi Latimer","Представитель","City Center Plaza
516 Main St.","Элгин","OR","97827","США","(503) 555-6874","(503) 555-2376"
"HUNGO","Hungry Owl All-Night Grocers","Patricia McKenna","Ученик продавца","8 Johnstown Road","Корк","Co. Cork",,"Ирландия","2967 542","2967 3333"
"ISLAT","Island Trading","Helen Bennett","Главный менеджер","Garden House
Crowther Way","Коувс","Isle of Wight","PO31 7PJ","Великобритания","(198) 555-8888",
"KOENE","Koniglich Essen","Philip Cramer","Ученик продавца","Maubelstr. 90","Бранденбург",,"14776","Германия","0555-09876",
"LACOR","La corne d'abondance","Daniel Tonini","Представитель","67, avenue de l'Europe","Версаль",,"78000","Франция","30.59.84.10","30.59.85.11"
"LAMAI","La maison d'Asie","Annette Roulet","Менеджер по продажам","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция","61.77.61.10","61.77.61.11"
"LAUGB","Laughing Bacchus Wine Cellars","Yoshi Tannamuri","Помощник менеджера","1900 Oak St.","Ванкувер","BC","V3F 2K1","Канада","(604) 555-3392","(604) 555-7293"
"LAZYK","Lazy K Kountry Store","John Steel","Главный менеджер","12 Orchestra Terrace","Уолла-Уолла","WA","99362","США","(509) 555-7969","(509) 555-6221"
"LEHMS","Lehmanns Marktstand","Renate Messner","Представитель","Magazinweg 7","Франкфурт",,"60528","Германия","069-0245984","069-0245874"
"LETSS","Let's Stop N Shop","Jaime Yorres","Совладелец","87 Polk St.
Suite 5","Сан-Франциско","CA","94117","США","(415) 555-5938",
"LILAS","LILA-Supermercado","Carlos Gonzalez","Бухгалтер","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэла","(9) 331-6954","(9) 331-7256"
"LINOD","LINO-Delicateses","Felipe Izquierdo","Совладелец","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэла","(8) 34-56-12","(8) 34-93-93"
"LONEP","Lonesome Pine Restaurant","Fran Wilson","Менеджер по продажам","89 Chiaroscuro Rd.","Портленд","OR","97219","США","(503) 555-9573","(503) 555-9646"
"MAGAA","Magazzini Alimentari Riuniti","Giovanni Rovelli","Главный менеджер","Via Ludovico il Moro 22","Бергамо",,"24100","Италия","035-640230","035-640231"
"MAISD","Maison Dewey","Catherine Dewey","Продавец","Rue Joseph-Bens 532","Брюссель",,"B-1180","Бельгия","(02) 201 24 67","(02) 201 24 68"
"MEREP","Mere Paillarde","Jean Fresniere","Помощник менеджера","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада","(514) 555-8054","(514) 555-8055"
"MORGK","Morgenstern Gesundkost","Alexander Feuer","Помощник менеджера","Heerstr. 22","Лейпциг",,"04179","Германия","0342-023176",
"NORTS","North/South","Simon Crowther","Ученик продавца","South House
300 Queensbridge","Лондон",,"SW7 1RZ","Великобритания","(171) 555-7733","(171) 555-2530"
"OCEAN","Oceano Atlantico Ltda.","Yvonne Moncada","Продавец","Ing. Gustavo Moncada 8585
Piso 20-A","Буэнос-Айрес",,"1010","Аргентина","(1) 135-5333","(1) 135-5535"
"OLDWO","Old World Delicatessen","Rene Phillips","Представитель","2743 Bering St.","Анкоридж","AK","99508","США","(907) 555-7584","(907) 555-2880"
"OTTIK","Ottilies Kaseladen","Henriette Pfalzheim","Совладелец","Mehrheimerstr. 369","Кельн",,"50739","Германия","0221-0644327","0221-0765721"
"PARIS","Paris specialites","Marie Bertrand","Совладелец","265, boulevard Charonne","Париж",,"75012","Франция","(1) 42.34.22.66","(1) 42.34.22.77"
"PERIC","Pericles Comidas clasicas","Guillermo Fernandez","Представитель","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика","(5) 552-3745","(5) 545-3745"
"PICCO","Piccolo und mehr","Georg Pipps","Менеджер по продажам","Geislweg 14","Зальцбург",,"5020","Австрия","6562-9722","6562-9723"
"PRINI","Princesa Isabel Vinhos","Isabel de Castro","Представитель","Estrada da saude n. 58","Лиссабон",,"1756","Португалия","(1) 356-5634",
"QUEDE","Que Delicia","Bernardo Batista","Бухгалтер","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия","(21) 555-4252","(21) 555-4545"
"QUEEN","Queen Cozinha","Lucia Carvalho","Помощник менеджера","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия","(11) 555-1189",
"QUICK","QUICK-Stop","Horst Kloss","Бухгалтер","Taucherstrasse 10","Кюневальд",,"01307","Германия","0372-035188",
"RANCH","Rancho grande","Sergio Gutierrez","Представитель","Av. del Libertador 900","Буэнос-Айрес",,"1010","Аргентина","(1) 123-5555","(1) 123-5556"
"RATTC","Rattlesnake Canyon Grocery","Paula Wilson","Помощник представителя","2817 Milton Dr.","Альбукерке","NM","87110","США","(505) 555-5939","(505) 555-3620"
"REGGC","Reggiani Caseifici","Maurizio Moroni","Ученик продавца","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия","0522-556721","0522-556722"
"RICAR","Ricardo Adocicados","Janete Limeira","Помощник продавца","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия","(21) 555-3412",
"RICSU","Richter Supermarkt","Michael Holz","Менеджер по продажам","Grenzacherweg 237","Женева",,"1203","Швейцария","0897-034214",
"ROMEY","Romero y tomillo","Alejandra Camino","Бухгалтер","Gran Via, 1","Мадрид",,"28001","Испания","(91) 745 6200","(91) 745 6210"
"SANTG","Santu Gourmet","Jonas Bergulfsen","Совладелец","Erling Skakkes gate 78","Ставерен",,"4110","Норвегия","07-98 92 35","07-98 92 47"
"SAVEA","Save-a-lot Markets","Jose Pavarotti","Представитель","187 Suffolk Ln.","Буа","ID","83720","США","(208) 555-8097",
"SEVES","Seven Seas Imports","Hari Kumar","Менеджер по продажам","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания","(171) 555-1717","(171) 555-5646"
"SIMOB","Simons bistro","Jytte Petersen","Совладелец","Vinbaeltet 34","Копенгаген",,"1734","Дания","31 12 34 56","31 13 35 57"
"SPECD","Specialites du monde","Dominique Perrier","Главный менеджер","25, rue Lauriston","Париж",,"75016","Франция","(1) 47.55.60.10","(1) 47.55.60.20"
"SPLIR","Split Rail Beer & Ale","Art Braunschweiger","Менеджер по продажам","P.O. Box 555","Лендер","WY","82520","США","(307) 555-4680","(307) 555-6525"
"SUPRD","Supremes delices","Pascale Cartrain","Бухгалтер","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия","(071) 23 67 22 20","(071) 23 67 22 21"
"THEBI","The Big Cheese","Liz Nixon","Главный менеджер","89 Jefferson Way
Suite 2","Портленд","OR","97201","США","(503) 555-3612",
"THECR","The Cracker Box","Liu Wong","Помощник менеджера","55 Grizzly Peak Rd.","Бут","MT","59801","США","(406) 555-5834","(406) 555-8083"
"TOMSP","Toms Spezialitaten","Karin Josephs","Главный менеджер","Luisenstr. 48","Мюнстер",,"44087","Германия","0251-031259","0251-035695"
